,Année,Nuance
0,1958,CNI
1,1958,COM
2,1958,CRR
3,1958,DIV
4,1958,DIVGAUL
5,1958,EXD
6,1958,MOD
7,1958,MRP
8,1958,POUJ
9,1958,RADCENT
10,1958,RADSOC
11,1958,RADUFD
12,1958,SFIO
13,1958,UDSRMIN
14,1958,UFD
15,1958,UNR
16,1962,CNI
17,1962,COM
18,1962,DIV
19,1962,DIVGAULL
20,1962,EXD
21,1962,EXG
22,1962,INDVREP
23,1962,MOD
24,1962,MRP
25,1962,MRPVREP
26,1962,POUJ
27,1962,PSU
28,1962,RADCENT
29,1962,RADSOC
30,1962,SFIO
31,1962,UNR-UDT
32,1967,ALLREP
33,1967,CENTDEM
34,1967,COM
35,1967,DIV
36,1967,DIVGAULL
37,1967,EXD
38,1967,EXG
39,1967,FGDS
40,1967,MOD
41,1967,PSU
42,1967,RADDROIT
43,1967,RALLIE
44,1967,RI
45,1967,UD5
46,1968,COM
47,1968,CPDM
48,1968,DIV
49,1968,DIVGAULL
50,1968,DIVMAJ
51,1968,DVD
52,1968,EXD
53,1968,EXG
54,1968,FGDS
55,1968,MOD
56,1968,PSU
57,1968,RADDROIT
58,1968,RADSOC
59,1968,RI
60,1968,RIUDR
61,1968,UDR
62,1973,CDP
63,1973,CDPURP
64,1973,COM
65,1973,DIVGAULL
66,1973,DIVREF
67,1973,DIVURP
68,1973,DVD
69,1973,DVG
70,1973,EXD
71,1973,LCR
72,1973,LO
73,1973,MRG
74,1973,OCI
75,1973,PSU
76,1973,REFRAD
77,1973,RI
78,1973,RIURP
79,1973,SOC
80,1973,UDR
81,1973,UDRURP
82,1978,COM
83,1978,DVD
84,1978,DVG
85,1978,ECO
86,1978,EXD
87,1978,EXG
88,1978,GAULOPP
89,1978,PSMRG
90,1978,RPR
91,1978,UDF
92,1981,COM
93,1981,DVD
94,1981,DVG
95,1981,ECO
96,1981,EXD
97,1981,EXG
98,1981,FRN
99,1981,RADICAUX GAUCHE
100,1981,REG
101,1981,RPR
102,1981,SOC
103,1981,UDF
104,1981,UDF-RPR
105,1988,COM
106,1988,DVD
107,1988,DVG
108,1988,ECI
109,1988,ECO
110,1988,EXD
111,1988,EXE
112,1988,EXG
113,1988,EXO
114,1988,FRN
115,1988,MAJ
116,1988,PRP
117,1988,RDC
118,1988,RDG
119,1988,REG
120,1988,RFN
121,1988,RPR
122,1988,RRN
123,1988,SCO
124,1988,SDC
125,1988,SOC
126,1988,UDF
127,1988,UDP
128,1988,UDR
129,1988,UOF
130,1993,COM
131,1993,DIV
132,1993,DVD
133,1993,EXD
134,1993,EXG
135,1993,EXG 
136,1993,FRN
137,1993,GEC
138,1993,MAJ
139,1993,RDG
140,1993,REG
141,1993,RPR
142,1993,RPR 
143,1993,SOC
144,1993,UDF
145,1993,VEC
146,1997,COM
147,1997,DIV
148,1997,DVD
149,1997,DVG
150,1997,ECO
151,1997,EXD
152,1997,EXG
153,1997,FRN
154,1997,PRG
155,1997,RPR
156,1997,SOC
157,1997,UDF
158,2002,COM
159,2002,DIV
160,2002,DVD
161,2002,DVG
162,2002,ECO
163,2002,EXD
164,2002,EXG
165,2002,FRN
166,2002,PRG
167,2002,SOC
168,2002,UDF
169,2002,UMP
170,2007,COM
171,2007,DIV
172,2007,DVD
173,2007,DVG
174,2007,ECO
175,2007,EXD
176,2007,EXG
177,2007,FRN
178,2007,MODEM
179,2007,PRG
180,2007,PSLE
181,2007,SOC
182,2007,UMP
183,2012,COM
184,2012,DIV
185,2012,DVD
186,2012,DVG
187,2012,ECO
188,2012,EXD
189,2012,EXG
190,2012,FDG
191,2012,FRN
192,2012,MODEM
193,2012,MODEM-
194,2012,MPF
195,2012,NouvC
196,2012,PRG
197,2012,PRV
198,2012,SOC
199,2012,UMP
200,2017,COM
201,2017,DIV
202,2017,DLF
203,2017,DVD
204,2017,DVG
205,2017,ECO
206,2017,EXD
207,2017,EXG
208,2017,FI
209,2017,FN
210,2017,LR
211,2017,MDM
212,2017,RDG
213,2017,REG
214,2017,REM
215,2017,SOC
216,2017,UDI
217,2022,DIV
218,2022,DSV
219,2022,DVC
220,2022,DVD
221,2022,DVG
222,2022,DXD
223,2022,DXG
224,2022,ECO
225,2022,ENS
226,2022,LR
227,2022,NUP
228,2022,RDG
229,2022,REC
230,2022,REG
231,2022,RN
232,2022,UDI
